agent;timestep;position;direction;status;given_command
9;30;(13, 23);n;moving;move_forward
0;31;(5, 15);n;stopped;wait
1;31;None;n;waiting;wait
2;31;(29, 10);e;moving;move_forward
3;31;(20, 23);s;stopped;wait
4;31;None;n;waiting;wait
5;31;(9, 22);w;moving;move_forward
6;31;(18, 15);n;moving;move_forward
7;31;None;w;waiting;wait
8;31;(5, 19);w;stopped;wait
9;31;(12, 23);n;moving;move_forward
0;32;(5, 15);n;stopped;wait
1;32;None;n;waiting;wait
2;32;(29, 11);e;moving;move_forward
3;32;(20, 23);s;stopped;wait
4;32;None;n;waiting;wait
5;32;(10, 22);s;moving;move_forward
6;32;(17, 15);n;moving;move_forward
7;32;None;w;waiting;wait
8;32;(5, 19);w;stopped;wait
9;32;(11, 23);n;moving;move_forward
0;33;(5, 15);n;stopped;wait
1;33;None;n;waiting;wait
2;33;(29, 12);e;moving;move_forward
3;33;(20, 23);s;stopped;wait
4;33;None;n;waiting;wait
5;33;(11, 22);s;moving;move_forward
6;33;(16, 15);n;moving;move_forward
7;33;None;w;ready to depart;move_forward
8;33;(5, 19);w;stopped;move_forward
9;33;(10, 23);n;moving;move_forward
0;34;(5, 15);n;stopped;wait
1;34;None;n;waiting;wait
2;34;(29, 13);e;moving;move_forward
3;34;(20, 23);s;stopped;wait
4;34;None;n;waiting;wait
5;34;(12, 22);s;moving;move_forward
6;34;(15, 15);n;moving;move_forward
7;34;(5, 20);w;moving;move_forward
8;34;(5, 18);w;moving;move_forward
9;34;(9, 23);n;moving;move_forward
0;35;(5, 15);n;stopped;wait
1;35;None;n;ready to depart;move_forward
2;35;(29, 14);e;moving;move_forward
3;35;(20, 23);s;stopped;wait
4;35;None;n;waiting;wait
5;35;(13, 22);s;moving;move_forward
6;35;(14, 15);n;moving;move_forward
7;35;(5, 19);w;moving;move_forward
8;35;(5, 17);w;moving;move_forward
9;35;(9, 24);e;moving;move_forward
0;36;(5, 15);n;stopped;wait
1;36;(25, 9);n;moving;move_forward
2;36;(29, 15);e;moving;move_forward
3;36;(20, 23);s;stopped;wait
4;36;None;n;waiting;wait
5;36;(14, 22);s;moving;move_forward
6;36;(13, 15);n;moving;move_forward
7;36;(5, 18);w;moving;move_forward
8;36;(5, 16);w;moving;move_left
9;36;(8, 24);n;moving;move_forward
0;37;(5, 15);n;stopped;wait
1;37;(24, 9);n;moving;move_forward
2;37;(29, 16);e;moving;move_forward
3;37;(20, 23);s;stopped;wait
4;37;None;n;waiting;wait
5;37;(15, 22);s;moving;move_forward
6;37;(12, 15);n;moving;move_forward
7;37;(5, 17);w;moving;move_forward
8;37;(6, 16);s;moving;move_forward
9;37;(7, 24);n;moving;move_forward
0;38;(5, 15);n;stopped;move_forward
1;38;(23, 9);n;moving;move_forward
2;38;(29, 17);e;moving;move_forward
3;38;(20, 23);s;stopped;wait
4;38;None;n;waiting;wait
5;38;(16, 22);s;moving;move_left
6;38;(11, 15);n;moving;move_forward
7;38;(5, 16);w;moving;move_left
8;38;(7, 16);s;moving;move_forward
9;38;(6, 24);n;moving;move_forward
0;39;(5, 16);e;moving;move_forward
1;39;(22, 9);n;moving;move_forward
2;39;(29, 18);e;moving;move_forward
3;39;(20, 23);s;stopped;wait
4;39;None;n;waiting;wait
5;39;(16, 23);e;moving;move_forward
6;39;(10, 15);n;moving;move_forward
7;39;(6, 16);s;moving;move_forward
8;39;(8, 16);s;moving;move_forward
9;39;(5, 24);n;moving;move_forward
0;40;(5, 17);e;moving;move_forward
1;40;(21, 9);n;moving;move_left
2;40;(29, 19);e;moving;move_forward
3;40;(20, 23);s;stopped;wait
4;40;None;n;waiting;wait
5;40;(17, 23);s;moving;move_right
6;40;(9, 15);n;moving;move_forward
7;40;(7, 16);s;moving;move_forward
8;40;(9, 16);s;moving;move_forward
9;40;(5, 23);w;moving;move_forward
0;41;(5, 18);e;moving;move_right
1;41;(21, 8);w;moving;move_forward
2;41;(29, 20);e;moving;move_forward
3;41;(20, 23);s;stopped;wait
4;41;None;n;waiting;wait
5;41;(17, 22);w;moving;move_forward
6;41;(8, 15);n;moving;move_forward
7;41;(8, 16);s;moving;move_forward
8;41;(10, 16);s;moving;move_forward
9;41;(5, 22);w;moving;move_left
0;42;(6, 18);s;moving;move_forward
1;42;(20, 8);n;moving;move_forward
2;42;(29, 21);e;moving;move_forward
3;42;(20, 23);s;stopped;wait
4;42;None;n;waiting;wait
5;42;(18, 22);s;moving;move_forward
6;42;(7, 15);n;moving;move_forward
7;42;(9, 16);s;moving;move_forward
8;42;(11, 16);s;moving;move_forward
9;42;(6, 22);s;moving;move_forward
0;43;(6, 19);e;moving;move_left
1;43;(19, 8);n;moving;move_forward
2;43;(29, 22);e;moving;move_forward
3;43;(20, 23);s;stopped;wait
4;43;None;n;waiting;wait
5;43;(19, 22);s;moving;wait
6;43;(6, 15);n;moving;move_forward
7;43;(10, 16);s;moving;move_forward
8;43;(11, 15);w;moving;move_left
9;43;(6, 21);w;moving;move_forward
0;44;(5, 19);n;moving;move_forward
1;44;(18, 8);n;moving;move_forward
2;44;(28, 22);n;moving;move_forward
3;44;(20, 23);s;stopped;wait
4;44;None;n;waiting;wait
5;44;(19, 22);s;stopped;wait
6;44;(5, 15);n;moving;move_forward
7;44;(11, 16);s;moving;move_forward
8;44;(12, 15);s;moving;move_forward
0;45;(5, 20);e;moving;move_forward
1;45;(17, 8);n;moving;move_forward
2;45;(27, 22);n;moving;move_forward
3;45;(20, 23);s;stopped;wait
4;45;None;n;waiting;wait
5;45;(19, 22);s;stopped;wait
6;45;(5, 16);e;moving;move_forward
7;45;(11, 15);w;moving;move_left
8;45;(13, 15);s;moving;move_forward
0;46;(5, 21);e;moving;move_forward
1;46;(16, 8);n;moving;move_forward
2;46;(26, 22);n;moving;move_forward
3;46;(20, 23);s;stopped;wait
4;46;None;n;waiting;wait
5;46;(19, 22);s;stopped;wait
6;46;(5, 17);e;moving;move_forward
7;46;(12, 15);s;moving;move_forward
8;46;(14, 15);s;moving;move_forward
0;47;(5, 22);e;moving;move_forward
1;47;(15, 8);n;moving;move_forward
2;47;(25, 22);n;moving;move_forward
3;47;(20, 23);s;stopped;wait
4;47;None;n;waiting;wait
5;47;(19, 22);s;stopped;wait
6;47;(5, 18);e;moving;move_right
7;47;(13, 15);s;moving;move_forward
8;47;(15, 15);s;moving;move_forward
0;48;(5, 23);e;moving;move_forward
1;48;(15, 7);w;moving;move_forward
2;48;(24, 22);n;moving;move_forward
3;48;(20, 23);s;stopped;wait
4;48;None;n;waiting;wait
5;48;(19, 22);s;stopped;wait
6;48;(6, 18);s;moving;move_forward
7;48;(14, 15);s;moving;move_forward
8;48;(16, 15);s;moving;move_forward
0;49;(5, 24);e;moving;move_forward
1;49;(14, 7);n;moving;move_forward
2;49;(23, 22);n;moving;move_forward
3;49;(20, 23);s;stopped;wait
4;49;None;n;waiting;wait
5;49;(19, 22);s;stopped;wait
6;49;(6, 19);e;moving;move_forward
7;49;(15, 15);s;moving;move_forward
8;49;(17, 15);s;moving;move_forward
0;50;(6, 24);s;moving;move_forward
1;50;(13, 7);n;moving;move_forward
2;50;(22, 22);n;moving;move_forward
3;50;(20, 23);s;stopped;wait
4;50;None;n;waiting;wait
5;50;(19, 22);s;stopped;wait
7;50;(16, 15);s;moving;move_forward
8;50;(18, 15);s;moving;move_forward
0;51;(7, 24);s;moving;move_forward
1;51;(12, 7);n;moving;move_forward
2;51;(21, 22);n;moving;move_forward
3;51;(20, 23);s;stopped;wait
4;51;None;n;waiting;wait
5;51;(19, 22);s;stopped;move_left
7;51;(17, 15);s;moving;move_forward
8;51;(19, 15);s;moving;move_forward
0;52;(8, 24);s;moving;move_forward
1;52;(11, 7);n;moving;move_forward
2;52;(20, 22);n;moving;move_forward
3;52;(20, 23);s;stopped;move_forward
4;52;None;n;ready to depart;move_forward
5;52;(19, 23);e;moving;move_forward
7;52;(18, 15);s;moving;move_forward
8;52;(20, 15);s;moving;move_forward
0;53;(9, 24);s;moving;move_forward
1;53;(11, 8);e;moving;move_forward
2;53;(19, 22);n;moving;move_forward
3;53;(20, 22);w;moving;move_forward
4;53;(25, 9);n;moving;move_forward
5;53;(20, 23);s;moving;move_forward
7;53;(19, 15);s;moving;move_forward
8;53;(21, 15);s;moving;move_forward
0;54;(9, 23);w;moving;move_left
1;54;(11, 9);e;moving;move_right
2;54;(18, 22);n;moving;move_forward
3;54;(21, 22);s;moving;move_forward
4;54;(24, 9);n;moving;move_forward
5;54;(20, 22);w;moving;move_forward
7;54;(20, 15);s;moving;move_forward
8;54;(22, 15);s;moving;move_forward
0;55;(10, 23);s;moving;move_forward
1;55;(12, 9);s;moving;move_forward
2;55;(17, 22);n;moving;move_forward
3;55;(22, 22);s;moving;move_forward
4;55;(23, 9);n;moving;move_forward
5;55;(21, 22);s;moving;move_forward
7;55;(21, 15);s;moving;move_forward
8;55;(22, 16);e;moving;move_forward
0;56;(11, 23);s;moving;move_forward
1;56;(12, 10);e;moving;move_forward
2;56;(16, 22);n;moving;move_forward
3;56;(23, 22);s;moving;move_forward
4;56;(22, 9);n;moving;move_forward
5;56;(22, 22);s;moving;move_forward
7;56;(22, 15);s;moving;move_forward
8;56;(22, 17);e;moving;move_forward
0;57;(12, 23);s;moving;move_forward
2;57;(15, 22);n;moving;move_forward
3;57;(24, 22);s;moving;move_forward
4;57;(21, 9);n;moving;move_forward
5;57;(23, 22);s;moving;move_forward
7;57;(22, 16);e;moving;move_forward
8;57;(22, 18);e;moving;move_forward
0;58;(13, 23);s;moving;move_forward
2;58;(14, 22);n;moving;move_forward
3;58;(25, 22);s;moving;move_forward
4;58;(20, 9);n;moving;move_forward
5;58;(24, 22);s;moving;move_forward
7;58;(22, 17);e;moving;move_forward
8;58;(22, 19);e;moving;move_forward
0;59;(14, 23);s;moving;move_forward
2;59;(13, 22);n;moving;move_forward
3;59;(26, 22);s;moving;move_forward
4;59;(19, 9);n;moving;move_forward
5;59;(25, 22);s;moving;move_forward
7;59;(22, 18);e;moving;move_forward
8;59;(22, 20);e;moving;move_forward
0;60;(14, 22);w;moving;move_forward
2;60;(12, 22);n;moving;move_forward
3;60;(27, 22);s;moving;move_forward
4;60;(18, 9);n;moving;move_forward
5;60;(26, 22);s;moving;move_forward
7;60;(22, 19);e;moving;move_forward
8;60;(22, 21);e;moving;move_forward
0;61;(15, 22);s;moving;move_forward
2;61;(11, 22);n;moving;move_forward
3;61;(28, 22);s;moving;move_forward
4;61;(17, 9);n;moving;move_forward
5;61;(27, 22);s;moving;move_forward
7;61;(22, 20);e;moving;move_forward
8;61;(22, 22);e;moving;move_forward
0;62;(16, 22);s;moving;move_forward
2;62;(10, 22);n;moving;move_forward
3;62;(29, 22);s;moving;move_forward
4;62;(16, 9);n;moving;move_forward
5;62;(28, 22);s;moving;move_forward
7;62;(22, 21);e;moving;move_forward
8;62;(21, 22);n;moving;move_forward
0;63;(17, 22);s;moving;move_forward
2;63;(9, 22);n;moving;move_forward
3;63;(29, 21);w;moving;move_forward
4;63;(15, 9);n;moving;move_forward
5;63;(29, 22);s;moving;move_forward
7;63;(22, 22);e;moving;move_forward
8;63;(20, 22);n;moving;move_right
0;64;(18, 22);s;moving;move_forward
2;64;(9, 23);e;moving;move_forward
3;64;(29, 20);w;moving;move_forward
4;64;(15, 8);w;moving;move_forward
5;64;(29, 21);w;moving;move_forward
7;64;(21, 22);n;moving;move_forward
8;64;(20, 23);e;moving;move_forward
0;65;(19, 22);s;moving;move_forward
2;65;(9, 24);e;moving;move_forward
3;65;(29, 19);w;moving;move_forward
4;65;(15, 7);w;moving;move_forward
5;65;(29, 20);w;moving;move_forward
7;65;(20, 22);n;moving;move_right
8;65;(19, 23);n;moving;move_forward
0;66;(20, 22);s;moving;move_forward
2;66;(8, 24);n;moving;move_forward
3;66;(29, 18);w;moving;move_forward
4;66;(14, 7);n;moving;move_forward
5;66;(29, 19);w;moving;move_forward
7;66;(20, 23);e;moving;move_forward
0;67;(21, 22);s;moving;move_forward
2;67;(7, 24);n;moving;move_forward
3;67;(29, 17);w;moving;move_forward
4;67;(13, 7);n;moving;move_forward
5;67;(29, 18);w;moving;move_forward
7;67;(19, 23);n;moving;move_forward
0;68;(22, 22);s;moving;move_forward
2;68;(6, 24);n;moving;move_forward
3;68;(29, 16);w;moving;move_forward
4;68;(12, 7);n;moving;move_forward
5;68;(29, 17);w;moving;move_forward
0;69;(23, 22);s;moving;move_forward
2;69;(5, 24);n;moving;move_forward
3;69;(29, 15);w;moving;move_forward
4;69;(11, 7);n;moving;move_forward
5;69;(29, 16);w;moving;move_forward
0;70;(24, 22);s;moving;move_forward
2;70;(5, 23);w;moving;move_forward
3;70;(29, 14);w;moving;move_forward
4;70;(11, 8);e;moving;move_forward
5;70;(29, 15);w;moving;move_forward
0;71;(25, 22);s;moving;move_forward
2;71;(5, 22);w;moving;move_left
3;71;(29, 13);w;moving;move_forward
4;71;(11, 9);e;moving;move_right
5;71;(29, 14);w;moving;move_forward
0;72;(26, 22);s;moving;move_forward
2;72;(6, 22);s;moving;move_forward
3;72;(29, 12);w;moving;move_forward
4;72;(12, 9);s;moving;move_forward
5;72;(29, 13);w;moving;move_forward
0;73;(27, 22);s;moving;move_forward
2;73;(6, 21);w;moving;move_forward
3;73;(29, 11);w;moving;move_forward
4;73;(12, 10);e;moving;move_forward
5;73;(29, 12);w;moving;move_forward
0;74;(28, 22);s;moving;move_forward
3;74;(29, 10);w;moving;move_forward
5;74;(29, 11);w;moving;move_forward
0;75;(29, 22);s;moving;move_forward
3;75;(29, 9);w;moving;move_forward
5;75;(29, 10);w;moving;move_forward
0;76;(29, 21);w;moving;move_forward
3;76;(28, 9);n;moving;move_forward
5;76;(29, 9);w;moving;move_forward
0;77;(29, 20);w;moving;move_forward
3;77;(27, 9);n;moving;move_right
5;77;(28, 9);n;moving;move_forward
0;78;(29, 19);w;moving;move_forward
3;78;(27, 10);e;moving;move_forward
5;78;(27, 9);n;moving;move_right
0;79;(29, 18);w;moving;move_forward
3;79;(26, 10);n;moving;move_forward
5;79;(27, 10);e;moving;move_forward
0;80;(29, 17);w;moving;move_forward
5;80;(26, 10);n;moving;move_forward
0;81;(29, 16);w;moving;move_forward
0;82;(29, 15);w;moving;move_forward
0;83;(29, 14);w;moving;move_forward
0;84;(29, 13);w;moving;move_forward
0;85;(29, 12);w;moving;move_forward
0;86;(29, 11);w;moving;move_forward
0;87;(29, 10);w;moving;move_forward
0;88;(29, 9);w;moving;move_forward
0;89;(28, 9);n;moving;move_forward
0;90;(27, 9);n;moving;move_right
0;91;(27, 10);e;moving;move_forward
0;92;(26, 10);n;moving;move_forward
